,0
0,Colorado
1,Delaware
2,Idaho
3,Kentucky
4,Louisiana
5,Maine
6,Michigan
7,Minnesota
8,Mississippi
9,Montana
10,Nebraska
11,New Hampshire
12,New Jersey
13,North Carolina
14,North Dakota
15,Oklahoma
16,Pennsylvania
17,Rhode Island
18,South Carolina
19,South Dakota
20,Tennessee
21,Utah
22,Vermont
23,West Virginia
24,Wisconsin
25,Wyoming
